#Frame     GSA[EELEC]    GSA[EVDW]
     848      43.3193     -37.0041
     849      16.3466     -44.1663
     850      -3.0643     -36.2412
     851      45.1666     -33.3041
     852      58.6571     -36.0431
     853      43.5475     -35.9363
     854     101.5991     -32.2066
     855     119.7140     -32.6403
     856     106.0999     -33.5249
     857      60.5433     -35.0705
     858      83.8299     -36.7526
     859      59.8616     -29.6218
     860      74.4578     -36.6207
     861      69.7644     -40.4622
     862     133.1933     -30.1737
     863     108.0031     -34.1836
     864     117.6285     -33.2940
     865     102.1922     -37.9848
     866      93.4538     -38.5627
     867     135.9138     -40.2844
     868      99.7179     -35.8860
     869     132.5185     -39.8191
     870      85.5788     -38.6742
     871      98.3592     -33.5739
     872     124.3023     -34.3329
     873     125.6053     -33.1189
     874     110.3506     -36.9983
     875     116.5270     -34.2419
     876     123.9812     -34.9927
     877     126.2591     -36.0587
     878     173.7748     -44.8777
     879     136.4141     -46.0872
     880     125.3410     -46.0388
     881      76.2083     -39.5166
     882     136.2632     -46.8198
     883     122.9426     -44.7476
     884     143.5998     -41.0961
     885     113.3681     -44.2449
     886      70.2554     -38.8501
     887     115.1720     -37.9956
     888     141.5564     -37.6871
     889     197.6488     -41.5621
     890     164.6436     -42.6665
     891     151.4718     -44.9228
     892     138.4074     -43.9113
     893     166.6236     -44.5756
     894     178.6097     -42.8556
     895     168.0303     -35.0497
     896     179.2751     -40.7794
     897     135.1852     -44.4294
     898     126.2408     -40.2426
     899     156.4262     -47.4723
     900     137.4672     -43.1752
     901      83.0646     -48.5347
     902      69.0516     -46.5762
     903      85.4843     -46.6845
     904      48.2616     -45.5020
     905      19.9696     -38.5291
     906      38.3191     -35.3341
     907      23.9949     -39.7635
     908      38.0012     -45.4547
     909     -13.6127     -39.0737
     910      -1.2676     -42.8986
     911       9.0254     -39.0304
     912      -8.4708     -35.7845
     913       8.7164     -42.3481
     914      46.9199     -42.3094
     915      -7.9379     -35.5045
     916     -22.3583     -29.9054
     917     -41.5950     -36.2202
     918      38.6192     -41.1798
     919      36.3734     -44.0918
     920      16.9872     -43.7777
     921      10.3828     -41.5073
     922      28.0998     -34.6148
     923      65.5325     -45.3372
     924      68.6392     -39.1527
     925      60.3751     -40.0871
     926     104.8934     -44.0388
     927     126.0729     -44.4933
     928     142.5142     -41.3675
     929     130.5996     -49.5190
     930     100.6177     -45.8786
     931     104.9012     -47.5231
     932     112.5907     -45.5404
     933     139.4967     -53.2465
     934     154.3817     -45.5260
     935     155.3874     -41.1195
     936     137.0870     -44.9455
     937     152.4314     -40.5272
     938     141.7651     -39.3375
     939     153.5991     -43.1166
     940      79.6291     -42.3215
     941     185.5534     -40.8262
     942     187.4789     -36.6775
     943     173.2083     -41.9383
     944     138.5189     -44.2752
     945     151.1550     -38.9792
     946     120.8559     -42.1543
     947     103.2551     -42.2746
     948      93.5422     -47.3290
     949      75.5111     -45.3521
     950      67.3453     -43.1840
     951      75.7846     -42.2902
     952      83.9309     -37.8986
     953     104.0018     -40.7002
     954      94.3488     -39.1878
     955      26.6870     -35.5079
     956      39.6846     -37.8558
     957      37.1540     -34.6091
     958      59.7807     -41.9795
     959      99.5177     -34.5440
     960      38.9947     -32.7113
     961      91.5034     -35.0320
     962     100.3757     -34.0095
     963     108.2981     -35.6836
     964     103.0250     -37.0782
     965     102.9487     -33.2554
     966     106.5138     -37.5118
     967     130.0712     -32.5776
     968     126.5589     -31.9202
     969     111.2173     -32.2367
     970     106.3952     -34.1497
     971     117.6061     -26.5255
     972      38.4837     -23.9611
     973     -32.1050     -19.7629
     974     -31.2119     -22.4116
     975     -63.8053     -18.5687
     976     -37.5086     -17.8281
